customer_id,first_name,last_name,billing_country,total_spending,RowNo
56,Diego,Gutiérrez,Argentina,39.59999919,1
55,Mark,Taylor,Australia,81.18000031,1
7,Astrid,Gruber,Austria,69.299999,1
8,Daan,Peeters,Belgium,60.38999987,1
1,Luís,Gonçalves,Brazil,108.8999994,1
3,François,Tremblay,Canada,99.9899981,1
57,Luis,Rojas,Chile,97.01999974,1
5,František,Wichterlová,Czech Republic,144.5399981,1
9,Kara,Nielsen,Denmark,37.61999965,1
44,Terhi,Hämäläinen,Finland,79.20000052,1
42,Wyatt,Girard,France,99.98999906,1
37,Fynn,Zimmermann,Germany,94.04999948,1
45,Ladislav,Kovács,Hungary,78.2099998,1
58,Manoj,Pareek,India,111.8699996,1
46,Hugh,O'Reilly,Ireland,114.8399994,1
47,Lucas,Mancini,Italy,50.49000096,1
48,Johannes,Van der Berg,Netherlands,65.34000015,1
4,Bjørn,Hansen,Norway,72.2699995,1
49,Stanisław,Wójcik,Poland,76.23000026,1
34,João,Fernandes,Portugal,102.9599996,1
50,Enrique,Muñoz,Spain,98.00999904,1
51,Joakim,Johansson,Sweden,75.23999953,1
53,Phil,Hughes,United Kingdom,98.00999928,1
17,Jack,Smith,USA,98.00999999,1
