customer_id,first_name,last_name,artist_name,amount_spent
46,Hugh,O'Reilly,Queen,27.72000027
38,Niklas,Schröder,Queen,18.81000018
3,François,Tremblay,Queen,17.82000017
34,João,Fernandes,Queen,16.83000016
41,Marc,Dubois,Queen,11.88000011
53,Phil,Hughes,Queen,11.88000011
47,Lucas,Mancini,Queen,10.8900001
33,Ellie,Sullivan,Queen,10.8900001
5,František,Wichterlová,Queen,3.960000038
20,Dan,Miller,Queen,3.960000038
23,John,Gordon,Queen,2.970000029
31,Martha,Silk,Queen,2.970000029
54,Steve,Murray,Queen,2.970000029
57,Luis,Rojas,Queen,1.980000019
1,Luís,Gonçalves,Queen,1.980000019
35,Madalena,Sampaio,Queen,1.980000019
36,Hannah,Schneider,Queen,1.980000019
42,Wyatt,Girard,Queen,1.980000019
52,Emma,Jones,Queen,1.980000019
44,Terhi,Hämäläinen,Queen,1.980000019
48,Johannes,Van der Berg,Queen,1.980000019
49,Stanisław,Wójcik,Queen,1.980000019
24,Frank,Ralston,Queen,1.980000019
28,Julia,Barnett,Queen,1.980000019
30,Edward,Francis,Queen,1.980000019
8,Daan,Peeters,Queen,1.980000019
11,Alexandre,Rocha,Queen,1.980000019
15,Jennifer,Peterson,Queen,1.980000019
16,Frank,Harris,Queen,1.980000019
17,Jack,Smith,Queen,1.980000019
19,Tim,Goyer,Queen,0.99000001
13,Fernanda,Ramos,Queen,0.99000001
6,Helena,Holý,Queen,0.99000001
22,Heather,Leacock,Queen,0.99000001
26,Richard,Cunningham,Queen,0.99000001
27,Patrick,Gray,Queen,0.99000001
50,Enrique,Muñoz,Queen,0.99000001
45,Ladislav,Kovács,Queen,0.99000001
43,Isabelle,Mercier,Queen,0.99000001
39,Camille,Bernard,Queen,0.99000001
58,Manoj,Pareek,Queen,0.99000001
59,Rishabh,Mishra,Queen,0.99000001
55,Mark,Taylor,Queen,0.99000001
